,administrative-network-meetings,total-project-proposal-frequency,informal-meetings-frequency,green-energy-openness-change,political-variety-change,max-project-capacity,random-intial-trust
116,5.0,5.0,15.0,1.0,-3.0,9.0,False
117,20.0,19.0,23.0,2.0,1.0,7.0,False
118,18.0,12.0,9.0,1.0,-1.0,18.0,False
119,7.0,23.0,4.0,-1.0,-3.0,2.0,False
120,7.0,4.0,5.0,-1.0,-2.0,11.0,False
121,12.0,12.0,24.0,-3.0,-4.0,5.0,False
122,17.0,4.0,20.0,-2.0,-0.0,1.0,True
123,6.0,21.0,10.0,-3.0,-4.0,12.0,True
124,3.0,5.0,8.0,-1.0,-3.0,8.0,True
125,9.0,3.0,10.0,-5.0,3.0,1.0,False
126,4.0,14.0,9.0,3.0,3.0,23.0,True
127,22.0,24.0,19.0,-0.0,2.0,16.0,True
128,11.0,22.0,8.0,5.0,-1.0,19.0,False
129,10.0,14.0,0.0,-2.0,-3.0,22.0,True
130,25.0,21.0,17.0,2.0,-3.0,5.0,True
131,12.0,4.0,22.0,-0.0,-0.0,10.0,False
132,23.0,18.0,16.0,2.0,-4.0,18.0,True
133,23.0,5.0,8.0,-4.0,2.0,10.0,True
134,12.0,9.0,2.0,2.0,-3.0,3.0,True
135,5.0,19.0,18.0,-4.0,1.0,13.0,False
136,18.0,25.0,6.0,4.0,-3.0,22.0,True
137,22.0,8.0,22.0,-2.0,4.0,17.0,True
138,21.0,1.0,14.0,1.0,2.0,7.0,True
139,10.0,9.0,20.0,-3.0,-4.0,23.0,False
140,23.0,24.0,1.0,-3.0,-4.0,24.0,True
141,3.0,12.0,15.0,-3.0,-2.0,12.0,False
142,18.0,8.0,9.0,-5.0,-5.0,10.0,True
143,15.0,4.0,8.0,-4.0,-2.0,20.0,False
144,1.0,15.0,10.0,-2.0,3.0,23.0,True
145,23.0,24.0,20.0,-4.0,0.0,7.0,True
146,17.0,2.0,25.0,-5.0,4.0,16.0,True
147,19.0,21.0,22.0,-1.0,-0.0,21.0,False
148,21.0,18.0,8.0,4.0,2.0,0.0,False
149,2.0,20.0,7.0,-2.0,2.0,18.0,True
